time_stamp,d_id,temp
2/20/2021 9:05,1115768,253
2/20/2021 9:05,1115768,251
2/20/2021 16:10,1115768,242
2/20/2021 16:15,1115768,242
2/20/2021 16:20,1115768,241
2/20/2021 16:25,1115768,242
2/20/2021 16:30,1115768,243
2/20/2021 16:35,1115768,243
2/20/2021 16:40,1115768,242
2/20/2021 16:45,1115768,241
2/20/2021 16:50,1115768,242
2/20/2021 16:55,1115768,245
2/20/2021 17:00,1115768,245
2/20/2021 17:05,1115768,243
2/20/2021 17:10,1115768,245
2/20/2021 17:15,1115768,244
2/20/2021 17:20,1115768,244
2/20/2021 17:25,1115768,245
2/20/2021 17:30,1115768,249
2/20/2021 17:35,1115768,247
2/20/2021 17:40,1115768,243
2/20/2021 17:45,1115768,244
2/20/2021 17:50,1115768,245
2/20/2021 17:55,1115768,243
2/20/2021 18:00,1115768,244
2/20/2021 18:05,1115768,243
2/20/2021 18:10,1115768,241
2/20/2021 18:15,1115768,241
2/20/2021 18:20,1115768,241
2/20/2021 18:25,1115768,241
2/20/2021 18:30,1115768,243
2/20/2021 18:31,1115768,243
2/20/2021 18:36,1115768,245
2/20/2021 18:41,1115768,244
2/20/2021 18:46,1115768,244
2/20/2021 18:51,1115768,244
2/20/2021 18:56,1115768,246
2/20/2021 19:01,1115768,248
2/20/2021 19:04,1115768,247
2/20/2021 19:09,1115768,246
2/20/2021 19:14,1115768,244
